"","Word","Feeling"
"1015","azedo","-1"
"1016","azedume","-1"
"1017","azeiteiro","-1"
"1018","azelha","-1"
"1019","azelhice","-1"
"1020","azoinante","-1"
"1021","azougado","-1"
"1022","babaca","-1"
"1023","babão","-1"
"1024","babilónico","-1"
"1026","baboseira","-1"
"1027","babosice","-1"
"1028","baboso","-1"
"1029","bacano","1"
"1030","baço para espelho","-1"
"1031","bacoco","-1"
"1032","baconiano","0"
"1033","bacoquice","-1"
"1034","badalhoco","-1"
"1035","badalhoquice","-1"
"1036","bagaceiro","-1"
"1037","bagunceiro","-1"
"1038","bairrista","0"
"1039","baixeza","-1"
"1040","baixote","-1"
"1041","bajulador","-1"
"1042","bajular","-1"
"1044","balbuciante","-1"
"1045","balofice","-1"
"1046","balofo","-1"
"1047","bambo","-1"
"1048","banal","-1"
"1049","banalidade","-1"
"1050","banalizar","-1"
"1052","banana","-1"
"1053","bancarrota","-1"
"1054","bandido","-1"
"1055","banditismo","-1"
"1056","banhado","0"
"1057","banido","-1"
"1058","banir","1"
"1060","banzado","-1"
"1061","barafustar","0"
"1063","baralhado","-1"
"1064","baralhar-se","-1"
"1065","baralhar","0"
"1067","barateiro","0"
"1068","barato","-1"
"1070","barbado","0"
"1071","barbaridade","-1"
"1072","bárbaro","-1"
"1073","barbeado","0"
"1074","barbilongo","0"
"1075","barbudo","0"
"1076","barrado","-1"
"1077","barraqueiro","-1"
"1078","barrigana","-1"
"1079","barrigudo","-1"
"1080","barroco","-1"
"1081","barulhento","-1"
"1082","baselga","-1"
"1083","básico","-1"
"1085","bastardo","-1"
"1086","basto","0"
"1087","batalhador","1"
"1088","batalhante","1"
"1089","batalhar","1"
"1090","batateiro","0"
"1091","batatudo","-1"
"1092","bater a bota","-1"
"1093","bater as botas","-1"
"1094","bater com o nariz na porta","-1"
"1095","bater no ceguinho","-1"
"1096","bater no fundo","-1"
"1097","bater","1"
"1099","batido","-1"
"1100","batota","-1"
"1101","batoteiro","-1"
"1102","batotice","-1"
"1103","bazófia","-1"
"1104","bazófio","-1"
"1105","beatice","-1"
"1106","beato","-1"
"1107","bêbado","-1"
"1108","bebedeira","-1"
"1109","bêbedo","-1"
"1110","bebedor","-1"
"1111","beberrão","-1"
"1112","bebido","-1"
"1114","bebum","-1"
"1115","beiçudo","-1"
"1116","beijoqueiro","0"
"1117","beleza","1"
"1118","belfo","-1"
"1119","belicismo","-1"
"1120","belicista","-1"
"1121","bélico","-1"
"1122","belicoso","-1"
"1123","belo","1"
"1124","bem ataviado","0"
"1125","bem constituído","0"
"1126","bem disposto","1"
"1127","bem mandado","-1"
"1128","bem vestido","1"
"1129","bem-amado","1"
"1130","bem-apessoado","1"
"1131","bem-aventurado","1"
"1132","bem-colocado","1"
"1133","bem-comportado","1"
"1134","bem-criado","1"
"1135","bem-educado","1"
"1136","bem-encarado","1"
"1137","bem-falante","1"
"1138","bem-formado","1"
"1139","bem-humorado","1"
"1140","bem-intencionado","1"
"1141","bem-mandado","0"
"1142","bem-pago","0"
"1143","bem-parecido","1"
"1144","bem-pensante","1"
"1145","bem-posto","1"
"1146","bem-sucedido","1"
"1147","bem-vindo","1"
"1148","bendito","1"
"1149","beneditino","0"
"1150","beneficiado","0"
"1151","benéfico","1"
"1152","benemerência","1"
"1153","benemérito","1"
"1154","benevolência","1"
"1155","benevolente","1"
"1156","benévolo","1"
"1157","benêvolo","1"
"1158","benfazejo","1"
"1159","benfeitor","1"
"1160","benfeitoria","1"
"1161","benfiquista","0"
"1162","benignidade","1"
"1163","benigno","1"
"1164","benquisto","1"
"1165","bera","-1"
"1166","besta","-1"
"1167","bestial","0"
"1168","bestialidade","1"
"1169","bestificado","-1"
"1170","bexiguento","-1"
"1171","bibliomania","-1"
"1172","bibliómano","0"
"1173","bígamo","0"
"1174","bilingue","0"
"1175","bilioso","-1"
"1176","biltre","-1"
"1177","bimbo","-1"
"1178","biqueiro","-1"
"1179","bira","-1"
"1180","birra","-1"
"1181","birrento","-1"
"1182","biruta","-1"
"1183","bisbilhotar","-1"
"1185","bisbilhoteiro","-1"
"1186","bisbilhotice","-1"
"1187","bisonho","-1"
"1188","bissexual","0"
"1189","bizarria","-1"
"1190","bizarro","-1"
"1191","blasfemador","-1"
"1192","blasfémia","-1"
"1193","blasfemo","-1"
"1194","blindado","0"
"1195","bloqueado","-1"
"1196","bloquear","-1"
"1197","boa apresentação","1"
"1198","boa criação","1"
"1199","boa disposição","1"
"1200","boa educação","1"
"1201","boa formação","1"
"1202","boa parecença","1"
"1203","boa performance","1"
"1204","boas intenções","1"
"1205","boateiro","-1"
"1206","bobo","-1"
"1207","boboca","-1"
"1208","boçal","-1"
"1209","bocejar","-1"
"1210","bochechudo","-1"
"1211","bocó","-1"
"1212","boêmio","-1"
"1213","boémio","-1"
"1214","bojudo","-1"
"1215","bolachudo","-1"
"1216","bolchevique","0"
"1217","bolchevista","0"
"1218","bolorento","-1"
"1219","bom aluno","1"
"1220","bom cheiro","1"
"1221","bom comportamento","1"
"1222","bom desempenho","1"
"1223","bom humor","1"
"1224","bom-samaritano","1"
"1225","bom","1"
"1226","bombardear","1"
"1228","bombeado","-1"
"1229","bonacheirão","0"
"1230","bonacheiro","0"
"1231","bonapartista","0"
"1232","bondade","1"
"1233","bondoso","1"
"1234","boniteza","1"
"1235","bonito","1"
"1236","borbulhento","-1"
"1237","borguista","-1"
"1238","borrachudo","-1"
"1239","borrado","-1"
"1240","borralheiro","0"
"1241","boto","-1"
"1242","botocudo","-1"
"1243","brabo","0"
"1244","braçal","0"
"1245","braceiro","1"
"1246","brando","0"
"1247","bravateador","-1"
"1248","bravo","0"
"1249","bravura","1"
"1250","brega","-1"
"1251","brejeirice","-1"
"1252","brejeiro","-1"
"1253","brejeirote","-1"
"1254","briga","-1"
"1255","brigador","-1"
"1256","brigante","-1"
"1257","brigão","-1"
"1258","briguento","-1"
"1259","brilhante","1"
"1260","brilhar","1"
"1261","brilharete","-1"
"1262","brilho","1"
